Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
GBT051_options,0.1,0.303046,0.0,2.333333,0.019631,0.329983,0.645572,,0.016002,0.183998
GBT051_edges,0.14,0.35051,0.0,2.824313,0.004738,0.399418,0.806303,,0.042845,0.237155
GBT051_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT051_partitions,0.18,0.437526,0.0,2.90907,0.003625,0.411405,0.828717,,0.058726,0.301274
GBT051_numberline,19.52,8.020993,0.019921,17.208249,0.0,2.433614,1.0,,17.296735,21.743265
GBT051_negative_score,-0.06,0.424264,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.177598,0.057598
GBT051_raw_score,40.754,16.717743,0.116964,17.237631,0.0,2.437769,1.0,,36.120163,45.387837
GBT051_percentage_score,64.516,9.832586,0.058949,46.396445,0.0,6.561448,1.0,,61.790596,67.241404
GBT051_functional_complexity,16.85,7.032178,0.17926,16.943184,0.0,2.396128,1.0,,14.900815,18.799185
GBT051_organization_score,5.6,4.35187,0.0,9.099072,0.0,1.286803,1.0,,4.393745,6.806255
GBT051_structural_integrity,9.94,0.424264,0.0,165.666667,0.0,23.428805,1.0,,9.822402,10.057598
GBT051_decisions_activities_ratio,0.11636,0.099913,0.00031,8.235044,0.0,1.164611,1.0,,0.088666,0.144054
GBT051_lines_vs_average,0.41852,0.172012,0.019969,17.204539,0.0,2.433089,1.0,,0.370842,0.466198
GBT052_activities,9.94,3.950768,0.134701,17.790568,0.0,2.515966,1.0,,8.844923,11.035077
GBT052_decisions,1.32,0.978128,8e-05,9.542522,0.0,1.349516,1.0,,1.048882,1.591118
GBT052_forks,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
GBT052_swimlanes,2.68,1.811978,8e-06,10.458438,0.0,1.479046,1.0,,2.177754,3.182246
GBT052_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT052_options,0.1,0.303046,0.0,2.333333,0.019631,0.329983,0.645572,,0.016002,0.183998
GBT052_edges,0.32,0.819158,0.0,2.762276,0.00574,0.390645,0.788815,,0.092945,0.547055
GBT052_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT052_partitions,0.16,0.509502,0.0,2.220544,0.026382,0.314032,0.602807,,0.018776,0.301224
GBT052_numberline,20.04,7.370543,0.233173,19.225749,0.0,2.718931,1.0,,17.997027,22.082973
GBT052_negative_score,-0.06,0.424264,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.177598,0.057598
GBT052_raw_score,42.186,16.908261,0.160071,17.642268,0.0,2.494993,1.0,,37.499355,46.872645
GBT052_percentage_score,65.308,9.673377,0.035594,47.738996,0.0,6.751314,1.0,,62.626726,67.989274
GBT052_functional_complexity,17.58,7.318107,0.143216,16.986547,0.0,2.40226,1.0,,15.551561,19.608439
GBT052_organization_score,5.36,3.623957,8e-06,10.458438,0.0,1.479046,1.0,,4.355509,6.364491
GBT052_structural_integrity,9.94,0.424264,0.0,165.666667,0.0,23.428805,1.0,,9.822402,10.057598
GBT052_decisions_activities_ratio,0.1269,0.092107,0.009092,9.742164,0.0,1.37775,1.0,,0.10137,0.15243
GBT052_lines_vs_average,0.42972,0.158066,0.232625,19.223453,0.0,2.718607,1.0,,0.385907,0.473533
GBT053_activities,10.2,4.075812,0.144062,17.695833,0.0,2.502569,1.0,,9.070263,11.329737
GBT053_decisions,1.44,1.145711,0.000322,8.887355,0.0,1.256862,1.0,,1.122431,1.757569
GBT053_forks,0.06,0.239898,0.0,1.768519,0.076974,0.250106,0.424185,,-0.006495,0.126495
GBT053_swimlanes,2.64,1.859998,2e-06,10.036366,0.0,1.419357,1.0,,2.124444,3.155556
GBT053_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT053_options,0.18,0.481918,0.0,2.641097,0.008264,0.373508,0.752109,,0.046422,0.313578
GBT053_edges,0.14,0.452205,0.0,2.189159,0.028585,0.309594,0.590658,,0.014657,0.265343
GBT053_notes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
GBT053_partitions,0.26,0.632778,0.0,2.905406,0.003668,0.410887,0.827784,,0.084606,0.435394
GBT053_numberline,20.74,8.113506,0.044868,18.075287,0.0,2.556232,1.0,,18.491092,22.988908
GBT053_negative_score,-0.12,0.593846,0.0,-1.428869,0.153042,-0.202073,0.298027,,-0.284603,0.044603
GBT053_raw_score,43.491,17.469085,0.261221,17.604116,0.0,2.489598,1.0,,38.648906,48.333094
GBT053_percentage_score,65.838,9.955675,0.015011,46.761768,0.0,6.613113,1.0,,63.078478,68.597522
GBT053_functional_complexity,18.27,7.738197,0.135834,16.694898,0.0,2.361015,1.0,,16.125121,20.414879
GBT053_organization_score,5.28,3.719996,2e-06,10.036366,0.0,1.419357,1.0,,4.248889,6.311111
GBT053_structural_integrity,9.88,0.593846,0.0,117.643549,0.0,16.63731,1.0,,9.715397,10.044603
GBT053_decisions_activities_ratio,0.13198,0.096952,0.00813,9.625788,0.0,1.361292,1.0,,0.105107,0.158853
GBT053_lines_vs_average,0.44468,0.173882,0.044877,18.083285,0.0,2.557363,1.0,,0.396483,0.492877
GBT091_activities,9.84,3.749068,0.001364,18.559095,0.0,2.624652,1.0,,8.80083,10.87917
GBT091_decisions,1.34,1.09935,0.000169,8.618936,0.0,1.218902,1.0,,1.035281,1.644719
GBT091_forks,0.04,0.197949,0.0,1.428869,0.153042,0.202073,0.298027,,-0.014868,0.094868
GBT091_swimlanes,2.58,1.566095,2.4e-05,11.648946,0.0,1.64741,1.0,,2.145909,3.014091
GBT091_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT091_options,0.32,0.62073,0.0,3.64529,0.000267,0.515522,0.954037,,0.147945,0.492055
GBT091_edges,0.2,0.451754,0.0,3.130495,0.001745,0.442719,0.879107,,0.074782,0.325218
GBT091_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT091_partitions,0.28,0.671277,0.0,2.949453,0.003183,0.417116,0.838789,,0.093935,0.466065
GBT091_numberline,20.06,7.554996,0.012849,18.775076,0.0,2.655197,1.0,,17.965901,22.154099
GBT091_negative_score,-0.06,0.424264,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.177598,0.057598
GBT091_raw_score,42.083,16.042372,0.002209,18.549111,0.0,2.62324,1.0,,37.636363,46.529637
GBT091_percentage_score,65.79,8.01461,0.6062,58.044687,0.0,8.208758,1.0,,63.568504,68.011496
GBT091_functional_complexity,17.5,7.277306,0.007296,17.004051,0.0,2.404736,1.0,,15.482871,19.517129
GBT091_organization_score,5.16,3.13219,2.4e-05,11.648946,0.0,1.64741,1.0,,4.291817,6.028183
GBT091_structural_integrity,9.94,0.424264,0.0,165.666667,0.0,23.428805,1.0,,9.822402,10.057598
GBT091_decisions_activities_ratio,0.1283,0.094916,0.00106,9.558102,0.0,1.35172,1.0,,0.101991,0.154609
GBT091_lines_vs_average,0.4301,0.161968,0.012806,18.776925,0.0,2.655458,1.0,,0.385206,0.474994
GBT092_activities,10.24,3.841556,0.271915,18.848544,0.0,2.665587,1.0,,9.175195,11.304805
GBT092_decisions,1.5,1.265718,7.9e-05,8.379912,0.0,1.185099,1.0,,1.149167,1.850833
GBT092_forks,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT092_swimlanes,2.58,1.679286,0.000106,10.86376,0.0,1.536368,1.0,,2.114534,3.045466
GBT092_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT092_options,0.12,0.328261,0.0,2.584921,0.00974,0.365563,0.734003,,0.029012,0.210988
GBT092_edges,0.18,0.522553,0.0,2.435721,0.014862,0.344463,0.682882,,0.035158,0.324842
GBT092_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT092_partitions,0.3,0.762648,0.0,2.781518,0.005411,0.393366,0.794336,,0.088609,0.511391
GBT092_numberline,21.02,8.120244,0.034307,18.30411,0.0,2.588592,1.0,,18.769224,23.270776
GBT092_negative_score,-0.2,1.414214,0.0,-1.0,0.317311,-0.141421,0.170075,,-0.591993,0.191993
GBT092_raw_score,43.517,17.038176,0.194924,18.060129,0.0,2.554088,1.0,,38.794345,48.239655
GBT092_percentage_score,65.942,10.08521,0.002107,46.234074,0.0,6.538485,1.0,,63.146574,68.737426
GBT092_functional_complexity,18.36,7.75784,0.073888,16.734659,0.0,2.366638,1.0,,16.209676,20.510324
GBT092_organization_score,5.16,3.358571,0.000106,10.86376,0.0,1.536368,1.0,,4.229069,6.090931
GBT092_structural_integrity,9.8,1.414214,0.0,49.0,0.0,6.929646,1.0,,9.408007,10.191993
GBT092_decisions_activities_ratio,0.13564,0.096154,0.004289,9.974833,0.0,1.410654,1.0,,0.108988,0.162292
GBT092_lines_vs_average,0.45066,0.174114,0.034424,18.302108,0.0,2.588309,1.0,,0.402399,0.498921
GBT093_activities,9.92,4.188614,0.029006,16.746587,0.0,2.368325,1.0,,8.758997,11.081003
GBT093_decisions,1.32,1.219568,9e-06,7.653371,0.0,1.08235,1.0,,0.981959,1.658041
GBT093_forks,0.04,0.197949,0.0,1.428869,0.153042,0.202073,0.298027,,-0.014868,0.094868
GBT093_swimlanes,2.64,2.017879,2e-06,9.251108,0.0,1.308304,1.0,,2.080683,3.199317
GBT093_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT093_options,0.16,0.467734,0.0,2.418832,0.01557,0.342074,0.676841,,0.030353,0.289647
GBT093_edges,0.12,0.520596,0.0,1.629916,0.103119,0.230505,0.370847,,-0.024299,0.264299
GBT093_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
GBT093_partitions,0.28,0.881557,0.0,2.245911,0.02471,0.31762,0.612554,,0.035649,0.524351
GBT093_numberline,20.26,8.895791,0.000803,16.104226,0.0,2.277481,1.0,,17.794258,22.725742
GBT093_negative_score,-0.5214,2.87285,0.0,-1.283344,0.199372,-0.181492,0.249914,,-1.317699,0.274899
GBT093_raw_score,41.6556,19.22389,0.009679,15.322059,0.0,2.166866,1.0,,36.327108,46.984092
GBT093_percentage_score,64.182,11.381935,0.015134,39.873297,0.0,5.638936,1.0,,61.027147,67.336853
GBT093_functional_complexity,17.58,7.907862,0.047016,15.719719,0.0,2.223104,1.0,,15.388093,19.771907
GBT093_organization_score,5.28,4.035759,2e-06,9.251108,0.0,1.308304,1.0,,4.161365,6.398635
GBT093_structural_integrity,9.6786,1.517503,0.0,45.099102,0.0,6.377976,1.0,,9.257977,10.099223
GBT093_decisions_activities_ratio,0.12486,0.097699,0.003106,9.036851,0.0,1.278004,1.0,,0.09778,0.15194
GBT093_lines_vs_average,0.43436,0.190667,0.000808,16.108682,0.0,2.278112,1.0,,0.381511,0.487209
CLD001_activities,13.7,4.541195,0.655855,21.33219,0.0,3.016827,1.0,,12.441268,14.958732
CLD001_decisions,2.28,1.16128,0.003119,13.882986,0.0,1.963351,1.0,,1.958115,2.601885
CLD001_forks,0.56,0.7329,0.0,5.402915,0.0,0.764088,0.999712,,0.356854,0.763146
CLD001_swimlanes,0.18,0.825363,0.0,1.542099,0.123049,0.218086,0.338254,,-0.048775,0.408775
CLD001_detaches,0.06,0.424264,0.0,1.0,0.317311,0.141421,0.170075,,-0.057598,0.177598
CLD001_options,0.14,0.404566,0.0,2.446943,0.014407,0.34605,0.686869,,0.027862,0.252138
CLD001_edges,0.14,0.534904,0.0,1.850704,0.064212,0.261729,0.456568,,-0.008265,0.288265
CLD001_notes,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD001_partitions,0.08,0.340468,0.0,1.661494,0.096614,0.234971,0.382819,,-0.014371,0.174371
CLD001_numberline,27.52,7.573423,0.134228,25.694562,0.0,3.63376,1.0,,25.420793,29.619207
CLD001_negative_score,-0.106,0.501085,0.0,-1.495822,0.1347,-0.211541,0.321547,,-0.244891,0.032891
CLD001_raw_score,53.868,17.865038,0.82058,21.321214,0.0,3.015275,1.0,,48.916155,58.819845
CLD001_percentage_score,70.824,8.760872,1.3e-05,57.163407,0.0,8.084127,1.0,,68.395655,73.252345
CLD001_functional_complexity,25.95,8.458331,0.840805,21.693902,0.0,3.067981,1.0,,23.605513,28.294487
CLD001_organization_score,0.36,1.650726,0.0,1.542099,0.123049,0.218086,0.338254,,-0.09755,0.81755
CLD001_structural_integrity,9.894,0.501085,0.0,139.619445,0.0,19.745171,1.0,,9.755109,10.032891
CLD001_decisions_activities_ratio,0.17926,0.140786,0.0,9.003424,0.0,1.273276,1.0,,0.140237,0.218283
CLD001_lines_vs_average,0.5901,0.16236,0.134457,25.699881,0.0,3.634512,1.0,,0.545097,0.635103
CLD002_activities,13.56,3.995712,0.112028,23.996644,0.0,3.393638,1.0,,12.452465,14.667535
CLD002_decisions,2.44,1.231558,0.001867,14.009416,0.0,1.981231,1.0,,2.098636,2.781364
CLD002_forks,0.54,0.705951,0.0,5.408838,0.0,0.764925,0.999719,,0.344324,0.735676
CLD002_swimlanes,0.14,0.728711,0.0,1.358493,0.174307,0.19212,0.274216,,-0.061985,0.341985
CLD002_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD002_options,0.12,0.38545,0.0,2.201398,0.027708,0.311325,0.595407,,0.013161,0.226839
CLD002_edges,0.2,0.670059,0.0,2.110579,0.034808,0.298481,0.559884,,0.014272,0.385728
CLD002_notes,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
