Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
CLD093,Jaccard,0.452311,0.181086,0.0,,,,,,0.434565,0.470057,400,400,0,CLD
CLD001,Levenshtein,0.669808,0.165981,0.0,,,,,,0.653542,0.686074,400,400,0,CLD
CLD002,Levenshtein,0.675603,0.167236,0.0,,,,,,0.659214,0.691992,400,400,0,CLD
CLD003,Levenshtein,0.66584,0.167263,0.0,,,,,,0.649448,0.682231,400,400,0,CLD
CLD051,Levenshtein,0.591626,0.130077,0.0,,,,,,0.578878,0.604373,400,400,0,CLD
CLD052,Levenshtein,0.588791,0.12431,0.0,,,,,,0.576609,0.600973,400,400,0,CLD
CLD053,Levenshtein,0.592035,0.130324,0.0,,,,,,0.579263,0.604807,400,400,0,CLD
CLD091,Levenshtein,0.631236,0.127103,0.0,,,,,,0.61878,0.643692,400,400,0,CLD
CLD092,Levenshtein,0.631937,0.12291,0.0,,,,,,0.619892,0.643981,400,400,0,CLD
CLD093,Levenshtein,0.631491,0.12878,0.0,,,,,,0.618871,0.644111,400,400,0,CLD
CLD001,TFIDF,0.609749,0.193834,0.0,,,,,,0.590754,0.628745,400,400,0,CLD
CLD002,TFIDF,0.614213,0.199777,0.0,,,,,,0.594635,0.63379,400,400,0,CLD
CLD003,TFIDF,0.605606,0.196735,0.0,,,,,,0.586327,0.624886,400,400,0,CLD
CLD051,TFIDF,0.541087,0.165868,0.0,,,,,,0.524832,0.557342,400,400,0,CLD
CLD052,TFIDF,0.537512,0.158921,0.0,,,,,,0.521938,0.553086,400,400,0,CLD
CLD053,TFIDF,0.542798,0.166698,0.0,,,,,,0.526462,0.559134,400,400,0,CLD
CLD091,TFIDF,0.565752,0.15611,2.1e-05,,,,,,0.550454,0.581051,400,400,0,CLD
CLD092,TFIDF,0.561618,0.151081,9e-06,,,,,,0.546812,0.576424,400,400,0,CLD
CLD093,TFIDF,0.560969,0.15841,9.1e-05,,,,,,0.545445,0.576493,400,400,0,CLD
CLD001,MEAN,0.596521,0.191254,0.0,,,,,,0.577778,0.615263,400,400,0,CLD
CLD002,MEAN,0.601286,0.195115,0.0,,,,,,0.582165,0.620407,400,400,0,CLD
CLD003,MEAN,0.589516,0.19319,0.0,,,,,,0.570584,0.608448,400,400,0,CLD
CLD051,MEAN,0.513028,0.1464,0.0,,,,,,0.498681,0.527375,400,400,0,CLD
CLD052,MEAN,0.507741,0.138822,0.0,,,,,,0.494137,0.521346,400,400,0,CLD
CLD053,MEAN,0.51406,0.147208,0.0,,,,,,0.499634,0.528486,400,400,0,CLD
CLD091,MEAN,0.548974,0.145675,0.0,,,,,,0.534698,0.56325,400,400,0,CLD
CLD092,MEAN,0.547961,0.136554,0.0,,,,,,0.534579,0.561344,400,400,0,CLD
CLD093,MEAN,0.548257,0.146948,0.0,,,,,,0.533857,0.562658,400,400,0,CLD
CLD001,Weighted,0.597348,0.19103,0.0,,,,,,0.578627,0.616068,400,400,0,CLD
CLD002,Weighted,0.602095,0.195055,0.0,,,,,,0.582979,0.62121,400,400,0,CLD
CLD003,Weighted,0.590522,0.193029,0.0,,,,,,0.571606,0.609438,400,400,0,CLD
CLD051,Weighted,0.514782,0.14706,0.0,,,,,,0.50037,0.529193,400,400,0,CLD
CLD052,Weighted,0.509602,0.139424,0.0,,,,,,0.495938,0.523265,400,400,0,CLD
