Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
GPM051,MEAN,0.491942,0.069122,9e-05,,,,,,0.485168,0.498716,400,400,0,GPM
GPM091,MEAN,0.466969,0.061613,0.0002,,,,,,0.460931,0.473007,400,400,0,GPM
GPM002,MEAN,0.520956,0.100162,0.0,,,,,,0.51114,0.530772,400,400,0,GPM
GPM052,MEAN,0.497532,0.070167,4.5e-05,,,,,,0.490655,0.504408,400,400,0,GPM
GPM092,MEAN,0.457643,0.054717,0.005723,,,,,,0.452281,0.463006,400,400,0,GPM
GPM003,MEAN,0.523634,0.099287,0.0,,,,,,0.513904,0.533364,400,400,0,GPM
GPM053,MEAN,0.498764,0.071697,3e-06,,,,,,0.491738,0.50579,400,400,0,GPM
GPM093,MEAN,0.463357,0.060831,0.000207,,,,,,0.457395,0.469318,400,400,0,GPM
GPM001,Weighted,0.522138,0.088347,0.0,,,,,,0.51348,0.530796,400,400,0,GPM
GPM051,Weighted,0.496018,0.069523,0.000243,,,,,,0.489205,0.502831,400,400,0,GPM
GPM091,Weighted,0.471141,0.061861,0.000635,,,,,,0.465079,0.477203,400,400,0,GPM
GPM002,Weighted,0.524779,0.100113,0.0,,,,,,0.514968,0.53459,400,400,0,GPM
GPM052,Weighted,0.501685,0.07033,0.000144,,,,,,0.494793,0.508577,400,400,0,GPM
GPM092,Weighted,0.461743,0.055188,0.008516,,,,,,0.456334,0.467151,400,400,0,GPM
GPM003,Weighted,0.527541,0.099156,0.0,,,,,,0.517824,0.537259,400,400,0,GPM
GPM053,Weighted,0.502915,0.071836,8e-06,,,,,,0.495875,0.509955,400,400,0,GPM
GPM093,Weighted,0.46733,0.061128,0.000594,,,,,,0.46134,0.47332,400,400,0,GPM
GPN001,Jaccard,0.270611,0.057825,0.138352,,,,,,0.259278,0.281944,100,100,0,GPN
GPN002,Jaccard,0.271814,0.054641,0.113198,,,,,,0.261105,0.282523,100,100,0,GPN
GPN003,Jaccard,0.272891,0.052265,0.012021,,,,,,0.262647,0.283135,100,100,0,GPN
GPN001,Levenshtein,0.450366,0.031946,0.979191,,,,,,0.444105,0.456627,100,100,0,GPN
GPN002,Levenshtein,0.449909,0.037178,0.003357,,,,,,0.442622,0.457196,100,100,0,GPN
GPN003,Levenshtein,0.446691,0.035124,0.005913,,,,,,0.439807,0.453575,100,100,0,GPN
GPN001,TFIDF,0.520868,0.092933,0.650786,,,,,,0.502653,0.539083,100,100,0,GPN
GPN002,TFIDF,0.530118,0.095733,0.833227,,,,,,0.511355,0.548881,100,100,0,GPN
GPN003,TFIDF,0.52473,0.089141,0.44809,,,,,,0.507259,0.542201,100,100,0,GPN
GPN001,MEAN,0.413947,0.044169,0.497232,,,,,,0.40529,0.422604,100,100,0,GPN
GPN002,MEAN,0.417281,0.047251,0.587498,,,,,,0.40802,0.426542,100,100,0,GPN
GPN003,MEAN,0.414768,0.043317,0.275825,,,,,,0.406278,0.423258,100,100,0,GPN
GPN001,Weighted,0.420628,0.046495,0.590258,,,,,,0.411515,0.429741,100,100,0,GPN
GPN002,Weighted,0.424334,0.049638,0.556704,,,,,,0.414605,0.434063,100,100,0,GPN
GPN003,Weighted,0.421646,0.045402,0.276179,,,,,,0.412747,0.430545,100,100,0,GPN
